"Name"	"Product"	"Parent_class"	"Pathways of gene"	"GO terms (biological process)"	"GO terms (cellular component)"	"GO terms (molecular function)"
"glutamate"	""	"amino acids"	""	""	""	""
"glutamine"	""	"amino acids"	""	""	""	""
"glutathione"	""	"cofactors, small molecule carriers"	""	""	""	""
"gluU"	"tRNA-Glu"	"tRNA"	"tetrapyrrole biosynthesis I (from glutamate)" // "tRNA charging" // "tRNA processing"	""	""	""
"glyA1"	"serine hydroxymethyltransferase 1"	"UNCLASSIFIED"	"superpathway of L-serine and glycine biosynthesis I" // "folate polyglutamylation" // "glycine biosynthesis I" // "<i>N</i><sup>10</sup>-formyl-tetrahydrofolate biosynthesis"	"cellular response to tetrahydrofolate" // "folic acid metabolic process" // "tetrahydrofolate metabolic process" // "L-serine catabolic process" // "glycine biosynthetic process from serine" // "evasion of host immune response" // "tetrahydrofolate interconversion" // "cellular amino acid biosynthetic process" // "one-carbon metabolic process" // "L-serine metabolic process" // "glycine biosynthetic process" // "glycine metabolic process"	"cytosol" // "plasma membrane" // "cytoplasm" // "cell wall"	"serine binding" // "cobalt ion binding" // "amino acid binding" // "zinc ion binding" // "protein homodimerization activity" // "pyridoxal phosphate binding" // "transferase activity" // "glycine hydroxymethyltransferase activity" // "catalytic activity"
"glyA2"	"serine hydroxymethyltransferase"	"UNCLASSIFIED"	"superpathway of L-serine and glycine biosynthesis I" // "folate polyglutamylation" // "glycine biosynthesis I" // "<i>N</i><sup>10</sup>-formyl-tetrahydrofolate biosynthesis"	"cellular response to tetrahydrofolate" // "folic acid metabolic process" // "tetrahydrofolate metabolic process" // "L-serine catabolic process" // "glycine biosynthetic process from serine" // "tetrahydrofolate interconversion" // "cellular amino acid biosynthetic process" // "one-carbon metabolic process" // "L-serine metabolic process" // "glycine biosynthetic process" // "glycine metabolic process"	"cytosol" // "plasma membrane" // "cytoplasm"	"serine binding" // "cobalt ion binding" // "amino acid binding" // "zinc ion binding" // "protein homodimerization activity" // "pyridoxal phosphate binding" // "transferase activity" // "glycine hydroxymethyltransferase activity" // "catalytic activity"
"glycine"	""	"amino acids"	""	""	""	""
"glycolate metabolism"	""	"central intermediary metabolism"	""	""	""	""
"glycolysis"	""	"energy metabolism, carbon"	""	""	""	""
"glyoxylate bypass"	""	"central intermediary metabolism"	""	""	""	""
"glyoxylate degradation"	""	"central intermediary metabolism"	""	""	""	""
"glyS"	"probable glycyl-tRNA synthetase"	"UNCLASSIFIED"	"tRNA charging"	"mitochondrial glycyl-tRNA aminoacylation" // "diadenosine tetraphosphate biosynthetic process" // "growth" // "glycyl-tRNA aminoacylation" // "tRNA aminoacylation for protein translation" // "translation"	"mitochondrion" // "microvesicle" // "extracellular vesicle" // "extracellular exosome" // "cytosol" // "plasma membrane" // "cytoplasm"	"protein dimerization activity" // "bis(5'-nucleosyl)-tetraphosphatase (asymmetrical) activity" // "ligase activity" // "ATP binding" // "glycine-tRNA ligase activity" // "aminoacyl-tRNA ligase activity" // "nucleotide binding"
"glyT"	"tRNA-Gly"	"tRNA"	"tRNA processing" // "tRNA charging"	""	""	""
"glyU"	"tRNA-Gly"	"tRNA"	"tRNA processing" // "tRNA charging"	""	""	""
"glyV"	"tRNA-Gly"	"tRNA"	"tRNA processing" // "tRNA charging"	""	""	""
"gmdA"	"GDP-D-mannose dehydratase"	"UNCLASSIFIED"	""	"'de novo' GDP-L-fucose biosynthetic process" // "cellular response to hypoxia" // "GDP-mannose metabolic process"	"cytoplasm" // "cytosol" // "plasma membrane"	"NADP+ binding" // "lyase activity" // "GDP-mannose 4,6-dehydratase activity"
"gmhA"	"probable sedoheptulose-7-phosphate isomerase"	"UNCLASSIFIED"	""	"carbohydrate derivative metabolic process" // "D-glycero-D-manno-heptose 7-phosphate biosynthetic process" // "carbohydrate metabolic process"	"cytosol" // "cytoplasm"	"zinc ion binding" // "carbohydrate derivative binding" // "metal ion binding" // "isomerase activity" // "D-sedoheptulose 7-phosphate isomerase activity"
"gmhB"	"possible D-alpha,beta-D-heptose-1,7-biphosphate phosphatase"	"UNCLASSIFIED"	""	"dephosphorylation" // "carbohydrate metabolic process"	"cytosol" // "cytoplasm"	"D,D-heptose 1,7-bisphosphate phosphatase activity" // "zinc ion binding" // "magnesium ion binding" // "metal ion binding" // "phosphatase activity" // "hydrolase activity"
"gmk"	"probable guanylate kinase"	"UNCLASSIFIED"	"superpathway of guanosine nucleotides <i>de novo</i> biosynthesis I" // "superpathway of guanosine nucleotides <i>de novo</i> biosynthesis II" // "guanosine ribonucleotides <i>de novo</i> biosynthesis"	"nucleoside monophosphate phosphorylation" // "nucleotide phosphorylation" // "GDP metabolic process" // "GMP metabolic process" // "growth" // "phosphorylation" // "purine nucleotide metabolic process"	"cytosol" // "cytoplasm"	"GDP binding" // "GMP binding" // "transferase activity" // "kinase activity" // "ATP binding" // "guanylate kinase activity" // "adenylate kinase activity" // "magnesium ion binding" // "nucleotide binding"
"gnd1"	"probable 6-phosphogluconate dehydrogenase"	"UNCLASSIFIED"	"pentose phosphate pathway" // "pentose phosphate pathway (oxidative branch) I"	"D-gluconate catabolic process" // "pentose-phosphate shunt, oxidative branch" // "D-gluconate metabolic process" // "oxidation-reduction process" // "pentose-phosphate shunt"	"cytosol"	"NADP binding" // "oxidoreductase activity" // "phosphogluconate dehydrogenase (decarboxylating) activity"
"gnd2"	"probable 6-phosphogluconate dehydrogenase,decarboxylating"	"UNCLASSIFIED"	"pentose phosphate pathway" // "pentose phosphate pathway (oxidative branch) I"	"oxidation-reduction process" // "growth" // "pentose-phosphate shunt"	"cytosol" // "plasma membrane"	"NADP binding" // "oxidoreductase activity" // "phosphogluconate dehydrogenase (decarboxylating) activity"
"gpdA1"	"probable glycerol-3-phosphate dehydrogenase [NAD(P)+]"	"UNCLASSIFIED"	"phosphatidylglycerol biosynthesis II (non-plastidic)" // "phosphatidylglycerol biosynthesis I (plastidic)" // "CDP-diacylglycerol biosynthesis I" // "CDP-diacylglycerol biosynthesis II"	"glycerol-3-phosphate biosynthetic process" // "oxidation-reduction process" // "glycerol-3-phosphate catabolic process" // "phospholipid biosynthetic process" // "glycerophospholipid metabolic process" // "lipid metabolic process" // "glycerol-3-phosphate metabolic process" // "carbohydrate metabolic process"	"cytosol" // "glycerol-3-phosphate dehydrogenase complex" // "cytoplasm"	"NAD binding" // "glycerol-3-phosphate dehydrogenase [NAD(P)+] activity" // "oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor" // "oxidoreductase activity" // "glycerol-3-phosphate dehydrogenase [NAD+] activity"
"gpdA2"	"probable glycerol-3-phosphate dehydrogenase [NAD(P)+]"	"UNCLASSIFIED"	"phosphatidylglycerol biosynthesis II (non-plastidic)" // "phosphatidylglycerol biosynthesis I (plastidic)" // "CDP-diacylglycerol biosynthesis I" // "CDP-diacylglycerol biosynthesis II"	"glycerol-3-phosphate biosynthetic process" // "oxidation-reduction process" // "glycerol-3-phosphate catabolic process" // "phospholipid biosynthetic process" // "glycerophospholipid metabolic process" // "lipid metabolic process" // "glycerol-3-phosphate metabolic process" // "carbohydrate metabolic process"	"cytosol" // "glycerol-3-phosphate dehydrogenase complex" // "plasma membrane" // "cytoplasm"	"NAD binding" // "glycerol-3-phosphate dehydrogenase [NAD(P)+] activity" // "oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor" // "oxidoreductase activity" // "glycerol-3-phosphate dehydrogenase [NAD+] activity"
"gpgP"	"glucosyl-3-phosphoglycerate phosphatase"	"UNCLASSIFIED"	"mannosylglucosylglycerate biosynthesis I" // "glucosylglycerate biosynthesis I"	"dephosphorylation" // "metabolic process"	"cytosol"	"mannosyl-3-phosphoglycerate phosphatase activity" // "phosphatase activity" // "hydrolase activity" // "catalytic activity"
"gpgS"	"probable glucosyl-3-phosphoglycerate synthase"	"UNCLASSIFIED"	"mannosylglucosylglycerate biosynthesis I" // "glucosylglycerate biosynthesis I"	"growth" // "UDP-glucose metabolic process"	"cytosol"	"metal ion binding" // "protein homodimerization activity" // "transferase activity, transferring hexosyl groups" // "transferase activity, transferring glycosyl groups" // "transferase activity" // "magnesium ion binding"
"gpm2"	"acid phosphatase"	"UNCLASSIFIED"	"NAD phosphorylation and dephosphorylation" // "NAD salvage pathway III (to nicotinamide riboside)" // "phosphate acquisition" // "glycolysis I (from glucose 6-phosphate)" // "gluconeogenesis I"	"gluconeogenesis" // "carbohydrate metabolic process" // "dephosphorylation"	"cytoplasm"	"fructose 1,6-bisphosphate 1-phosphatase activity" // "hydrolase activity" // "protein homodimerization activity" // "acid phosphatase activity"
"gpmA"	"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase subunit"	"UNCLASSIFIED"	"gluconeogenesis I" // "glycolysis I (from glucose 6-phosphate)"	"protein homotetramerization" // "regulation of pentose-phosphate shunt" // "metabolic process" // "glycolytic process" // "gluconeogenesis"	"protein-containing complex" // "plasma membrane" // "cytosol"	"protein homodimerization activity" // "identical protein binding" // "2,3-bisphosphoglycerate-dependent phosphoglycerate mutase activity" // "intramolecular transferase activity, phosphotransferases" // "isomerase activity" // "phosphoglycerate mutase activity" // "catalytic activity"
"gpsI"	"bifunctional polyribonucleotide nucleotidyltransferase"	"UNCLASSIFIED"	"ppGpp biosynthesis"	"RNA phosphodiester bond hydrolysis, exonucleolytic" // "RNA catabolic process" // "mRNA catabolic process" // "RNA processing"	"plasma membrane" // "cytosol" // "cytoplasm" // "cell wall"	"magnesium ion binding" // "3'-5'-exoribonuclease activity" // "metal ion binding" // "nucleotidyltransferase activity" // "transferase activity" // "polyribonucleotide nucleotidyltransferase activity" // "RNA binding" // "nucleic acid binding"
"grcC1"	"probable polyprenyl-diphosphate synthase"	"UNCLASSIFIED"	""	"growth" // "isoprenoid biosynthetic process"	"cytosol" // "plasma membrane" // "cell wall"	"transferase activity"
"grcC2"	"probable polyprenyl-diphosphate synthase"	"UNCLASSIFIED"	""	"isoprenoid biosynthetic process"	"cytosol"	"transferase activity"
"greA"	"probable transcription elongation factor"	"UNCLASSIFIED"	""	"DNA-templated transcription, elongation" // "response to antibiotic" // "regulation of DNA-templated transcription, elongation" // "regulation of transcription, DNA-templated" // "transcription, DNA-templated"	"plasma membrane" // "cytosol" // "cell wall"	"RNA polymerase binding" // "DNA binding"
"groEL1"	"60 kDa chaperonin 1"	"UNCLASSIFIED"	""	"positive regulation of transcription regulatory region DNA binding" // "chaperone-mediated protein folding" // "'de novo' protein folding" // "nucleoid organization" // "DNA protection" // "protein refolding" // "growth" // "response to heat" // "protein folding"	"GroEL-GroES complex" // "cell surface" // "cytosol" // "bacterial nucleoid" // "plasma membrane" // "cytoplasm" // "cell wall"	"protein folding chaperone" // "unfolded protein binding" // "ATP binding" // "single-stranded DNA binding" // "nucleotide binding"
"groEL2"	"60 kDa chaperonin 2"	"UNCLASSIFIED"	""	"positive regulation of transcription regulatory region DNA binding" // "chaperone-mediated protein folding" // "'de novo' protein folding" // "adhesion of symbiont to host" // "protein refolding" // "growth" // "response to heat" // "protein folding" // "response to hypoxia"	"capsule" // "GroEL-GroES complex" // "extracellular region" // "plasma membrane" // "cytosol" // "cytoplasm" // "cell wall"	"protein folding chaperone" // "unfolded protein binding" // "ATP binding" // "protein binding" // "nucleotide binding"
"groES"	"10 kDa chaperonin"	"UNCLASSIFIED"	""	"chaperone cofactor-dependent protein refolding" // "response to unfolded protein" // "response to antibiotic" // "growth" // "cellular response to heat" // "response to heat" // "protein folding" // "regulation of transcription, DNA-templated"	"plasma membrane" // "cytosol" // "cytoplasm" // "cell wall" // "extracellular region"	"zymogen binding" // "chaperone binding" // "unfolded protein binding" // "protein binding" // "metal ion binding" // "ATP binding"
"Group Translocators"	""	"transport"	""	""	""	""
"grpE"	"probable"	"UNCLASSIFIED"	""	"regulation of catalytic activity" // "growth" // "cellular response to starvation" // "protein folding"	"cytosol" // "cytoplasm" // "cell wall"	"unfolded protein binding" // "chaperone binding" // "protein homodimerization activity" // "adenyl-nucleotide exchange factor activity"
"gshA"	"glutamate--cysteine ligase"	"UNCLASSIFIED"	"glutathione biosynthesis" // "ergothioneine biosynthesis I (bacteria)"	"glutathione biosynthetic process" // "ergothioneine biosynthetic process" // "cellular modified amino acid biosynthetic process"	"plasma membrane"	"catalytic activity" // "ligase activity" // "ATP binding" // "glutamate-cysteine ligase activity" // "nucleotide binding"
"guaA"	"probable GMP synthase [glutamine-hydrolyzing]"	"UNCLASSIFIED"	"superpathway of guanosine nucleotides <i>de novo</i> biosynthesis I" // "superpathway of guanosine nucleotides <i>de novo</i> biosynthesis II" // "guanosine ribonucleotides <i>de novo</i> biosynthesis" // "L-glutamine degradation I"	"growth" // "glutamine metabolic process" // "GMP biosynthetic process" // "purine nucleotide biosynthetic process"	"cytosol" // "cell wall"	"GMP synthase activity" // "ligase activity" // "pyrophosphatase activity" // "ATP binding" // "GMP synthase (glutamine-hydrolyzing) activity" // "nucleotide binding"
"guaB1"	"probable inosine-5'-monophosphate dehydrogenase"	"UNCLASSIFIED"	"superpathway of guanosine nucleotides <i>de novo</i> biosynthesis I" // "superpathway of guanosine nucleotides <i>de novo</i> biosynthesis II" // "guanosine ribonucleotides <i>de novo</i> biosynthesis" // "inosine 5'-phosphate degradation"	"purine ribonucleotide interconversion" // "oxidation-reduction process" // "purine nucleotide biosynthetic process"	"plasma membrane" // "cytosol"	"GMP reductase activity" // "oxidoreductase activity" // "catalytic activity"
"guaB2"	"probable inosine-5'-monophosphate dehydrogenase"	"UNCLASSIFIED"	"superpathway of guanosine nucleotides <i>de novo</i> biosynthesis I" // "superpathway of guanosine nucleotides <i>de novo</i> biosynthesis II" // "guanosine ribonucleotides <i>de novo</i> biosynthesis" // "inosine 5'-phosphate degradation"	"GTP biosynthetic process" // "XMP biosynthetic process" // "oxidation-reduction process" // "growth" // "IMP catabolic process" // "GMP biosynthetic process" // "purine nucleotide biosynthetic process"	"cytoplasm" // "cytosol" // "plasma membrane" // "cell wall"	"nucleotide binding" // "metal ion binding" // "oxidoreductase activity" // "IMP dehydrogenase activity" // "catalytic activity"
"guaB3"	"probable inosine-5'-monophosphate dehydrogenase"	"UNCLASSIFIED"	"superpathway of guanosine nucleotides <i>de novo</i> biosynthesis I" // "superpathway of guanosine nucleotides <i>de novo</i> biosynthesis II" // "guanosine ribonucleotides <i>de novo</i> biosynthesis" // "inosine 5'-phosphate degradation"	"GTP biosynthetic process" // "oxidation-reduction process"	"cytoplasm" // "cytosol" // "plasma membrane"	"IMP dehydrogenase activity" // "oxidoreductase activity" // "catalytic activity"
"gyrA"	"DNA gyrase (subunit A)"	"UNCLASSIFIED"	""	"DNA-dependent DNA replication" // "response to antibiotic" // "DNA topological change" // "DNA metabolic process"	"DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) complex" // "cytosol" // "plasma membrane" // "cytoplasm" // "chromosome" // "cell wall"	"ATPase activity" // "DNA negative supercoiling activity" // "isomerase activity" // "ATP binding" // "protein binding" // "DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity" // "DNA topoisomerase activity" // "DNA binding" // "magnesium ion binding" // "nucleotide binding"
"gyrB"	"DNA gyrase (subunit B)"	"UNCLASSIFIED"	""	"DNA-dependent DNA replication" // "response to antibiotic" // "growth" // "chromosome segregation" // "DNA topological change"	"cytosol" // "nucleoid" // "plasma membrane" // "cytoplasm" // "chromosome" // "cell wall"	"DNA negative supercoiling activity" // "metal ion binding" // "isomerase activity" // "ATP binding" // "protein binding" // "DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity" // "DNA topoisomerase activity" // "DNA binding" // "magnesium ion binding" // "nucleotide binding"
"hab"	"probable hydroxylaminobenzene mutase"	"UNCLASSIFIED"	"nitrobenzene degradation I"	""	"plasma membrane" // "integral component of membrane" // "membrane"	""
"hadA"	"HadA"	|MultiFun|	"superpathway of mycolate biosynthesis" // "mycolate biosynthesis"	"growth"	"cytosol" // "plasma membrane"	"3-hydroxyacyl-[acyl-carrier-protein] dehydratase activity" // "protein binding"
"hadB"	"HadB"	|MultiFun|	"superpathway of mycolate biosynthesis" // "mycolate biosynthesis"	""	""	""
"hadC"	"HadC"	|MultiFun|	"superpathway of mycolate biosynthesis" // "mycolate biosynthesis"	"long-chain fatty acid biosynthetic process" // "fatty acid elongation"	"cytosol" // "plasma membrane"	"3-hydroxyacyl-[acyl-carrier-protein] dehydratase activity" // "protein binding"
"hbhA"	"iron-regulated heparin binding hemagglutinin"	"UNCLASSIFIED"	""	"positive regulation by symbiont of host receptor-mediated endocytosis" // "pathogenesis" // "heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules" // "cell adhesion"	"cell surface" // "plasma membrane" // "cytosol" // "cell wall"	"identical protein binding" // "heparin binding" // "protein binding"
"hddA"	"possible D-alpha-D-heptose-7-phosphate kinase"	"UNCLASSIFIED"	""	"GDP-L-fucose salvage" // "phosphorylation" // "metabolic process"	"plasma membrane"	"fucokinase activity" // "kinase activity" // "ATP binding"
"helY"	"ATP-dependent DNA helicase"	"UNCLASSIFIED"	""	"nuclear-transcribed mRNA catabolic process, 3'-5' exonucleolytic nonsense-mediated decay" // "RNA catabolic process"	"Ski complex" // "plasma membrane" // "cytosol" // "cell wall"	"RNA helicase activity" // "hydrolase activity" // "ATP binding" // "helicase activity" // "nucleic acid binding" // "nucleotide binding"
"helZ"	"probable helicase"	"UNCLASSIFIED"	""	""	"nucleus" // "cytosol"	"DNA-dependent ATPase activity" // "DNA binding" // "ATP binding" // "helicase activity"
"hemA"	"probable glutamyl-tRNA reductase"	"UNCLASSIFIED"	"adenosylcobalamin biosynthesis II (aerobic)" // "tetrapyrrole biosynthesis I (from glutamate)"	"protoporphyrinogen IX biosynthetic process from glutamate" // "oxidation-reduction process" // "growth" // "tetrapyrrole biosynthetic process" // "protoporphyrinogen IX biosynthetic process" // "porphyrin-containing compound biosynthetic process"	"cytosol"	"NADP binding" // "oxidoreductase activity" // "glutamyl-tRNA reductase activity"
"hemB"	"probable delta-aminolevulinic acid dehydratase"	"UNCLASSIFIED"	"adenosylcobalamin biosynthesis II (aerobic)" // "tetrapyrrole biosynthesis I (from glutamate)"	"tetrapyrrole biosynthetic process" // "heme biosynthetic process" // "protoporphyrinogen IX biosynthetic process" // "porphyrin-containing compound biosynthetic process"	"cytosol" // "cell wall"	"metal ion binding" // "lyase activity" // "zinc ion binding" // "porphobilinogen synthase activity" // "catalytic activity"
"hemC"	"probable porphobilinogen deaminase"	"UNCLASSIFIED"	"adenosylcobalamin biosynthesis II (aerobic)" // "tetrapyrrole biosynthesis I (from glutamate)"	"heme biosynthetic process" // "growth" // "tetrapyrrole biosynthetic process" // "peptidyl-pyrromethane cofactor linkage" // "protoporphyrinogen IX biosynthetic process" // "porphyrin-containing compound biosynthetic process"	"cytoplasm" // "cytosol" // "plasma membrane"	"transferase activity" // "hydroxymethylbilane synthase activity"
"hemD"	"probable uroporphyrin-III C-methyltransferase"	"UNCLASSIFIED"	"adenosylcobalamin biosynthesis II (aerobic)" // "siroheme biosynthesis" // "cob(II)yrinate <i>a,c</i>-diamide biosynthesis II (late cobalt incorporation)"	"growth" // "tetrapyrrole biosynthetic process" // "methylation" // "siroheme biosynthetic process" // "metabolic process"	"cytosol" // "plasma membrane"	"transferase activity" // "methyltransferase activity" // "uroporphyrinogen-III synthase activity" // "uroporphyrin-III C-methyltransferase activity"
"hemE"	"probable uroporphyrinogen decarboxylase"	"UNCLASSIFIED"	"superpathway of heme <i>b</i> biosynthesis from uroporphyrinogen-III" // "heme <i>b</i> biosynthesis II (anaerobic)" // "heme <i>b</i> biosynthesis I (aerobic)"	"heme biosynthetic process" // "protoporphyrinogen IX biosynthetic process" // "porphyrin-containing compound biosynthetic process"	"cytosol" // "cytoplasm"	"carboxy-lyase activity" // "lyase activity" // "uroporphyrinogen decarboxylase activity"
"heme, porphyrine"	""	"cofactors, small molecule carriers"	""	""	""	""
"hemK"	"probable"	"UNCLASSIFIED"	""	"peptidyl-glutamine methylation" // "growth" // "methylation" // "protein methylation"	"cytosol"	"protein-glutamine N-methyltransferase activity" // "protein-(glutamine-N5) methyltransferase activity" // "S-adenosylmethionine-dependent methyltransferase activity" // "transferase activity" // "protein methyltransferase activity" // "methyltransferase activity" // "nucleic acid binding"
"hemL"	"probable glutamate-1-semialdehyde 2,1-aminomutase"	"UNCLASSIFIED"	"adenosylcobalamin biosynthesis II (aerobic)" // "tetrapyrrole biosynthesis I (from glutamate)"	"growth" // "tetrapyrrole biosynthetic process" // "protoporphyrinogen IX biosynthetic process" // "porphyrin-containing compound biosynthetic process"	"cytosol" // "plasma membrane" // "cytoplasm"	"glutamate-1-semialdehyde 2,1-aminomutase activity" // "pyridoxal phosphate binding" // "isomerase activity" // "transaminase activity" // "catalytic activity"
"hemN"	"probable oxygen-independent coproporphyrinogen III oxidase"	"UNCLASSIFIED"	"superpathway of heme <i>b</i> biosynthesis from uroporphyrinogen-III" // "heme <i>b</i> biosynthesis II (anaerobic)"	"oxidation-reduction process" // "protoporphyrinogen IX biosynthetic process" // "porphyrin-containing compound biosynthetic process"	"cytosol" // "cytoplasm"	"4 iron, 4 sulfur cluster binding" // "iron-sulfur cluster binding" // "metal ion binding" // "oxidoreductase activity" // "coproporphyrinogen oxidase activity" // "catalytic activity"
"hemY"	"probable protoporphyrinogen oxidase"	"UNCLASSIFIED"	"superpathway of heme <i>b</i> biosynthesis from uroporphyrinogen-III" // "heme <i>b</i> biosynthesis I (aerobic)"	"oxidation-reduction process" // "heme biosynthetic process" // "protoporphyrinogen IX biosynthetic process" // "porphyrin-containing compound biosynthetic process"	"cytosol" // "membrane" // "cytoplasm"	"oxidoreductase activity" // "oxygen-dependent protoporphyrinogen oxidase activity"
"hemZ"	"ferrochelatase"	"UNCLASSIFIED"	"superpathway of heme <i>b</i> biosynthesis from uroporphyrinogen-III" // "heme <i>b</i> biosynthesis II (anaerobic)" // "heme <i>b</i> biosynthesis I (aerobic)"	"growth" // "heme biosynthetic process" // "porphyrin-containing compound biosynthetic process"	"cytosol" // "plasma membrane" // "cytoplasm"	"2 iron, 2 sulfur cluster binding" // "iron-sulfur cluster binding" // "metal ion binding" // "lyase activity" // "ferrochelatase activity"
"hflX"	"probable GTP-binding protein"	"UNCLASSIFIED"	""	""	"cytosol" // "plasma membrane" // "cytoplasm"	"metal ion binding" // "nucleotide binding" // "ribosome binding" // "GTP binding" // "GTPase activity"
"higA"	"possible antitoxin"	"UNCLASSIFIED"	""	"positive regulation of growth" // "negative regulation of growth" // "negative regulation of transcription, DNA-templated" // "regulation of fatty acid metabolic process" // "regulation of transcription, DNA-templated" // "transcription, DNA-templated" // "response to hypoxia"	"cytosol"	"toxin-antitoxin pair type II binding" // "sequence-specific DNA binding" // "protein binding" // "DNA binding"
"higB"	"possible toxin"	"UNCLASSIFIED"	""	"RNA phosphodiester bond hydrolysis, endonucleolytic" // "nucleic acid phosphodiester bond hydrolysis" // "positive regulation of growth" // "negative regulation of growth" // "response to hypoxia"	""	"hydrolase activity" // "protein binding" // "endoribonuclease activity" // "endonuclease activity" // "nuclease activity"
"higB2"	"Putative toxin HigB2"	"UNCLASSIFIED"	""	""	"cytosol"	""
"higB3"	"Putative toxin HigB3"	|ORFs|	""	""	""	""
"hisA"	"probable phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase"	"UNCLASSIFIED"	"L-histidine biosynthesis"	"growth" // "aromatic amino acid family biosynthetic process" // "cellular amino acid biosynthetic process" // "metabolic process" // "tryptophan biosynthetic process" // "histidine biosynthetic process"	"cytosol" // "cytoplasm"	"isomerase activity" // "phosphoribosylanthranilate isomerase activity" // "1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase activity" // "catalytic activity"
"hisB"	"probable imidazole glycerol-phosphate dehydratase"	"UNCLASSIFIED"	"L-histidine biosynthesis"	"growth" // "cellular amino acid biosynthetic process" // "histidine biosynthetic process"	"cytosol" // "cytoplasm"	"metal ion binding" // "lyase activity" // "imidazoleglycerol-phosphate dehydratase activity"
"hisC1"	"probable histidinol-phosphate aminotransferase"	"UNCLASSIFIED"	"L-histidine biosynthesis"	"growth" // "biosynthetic process" // "cellular amino acid biosynthetic process" // "metabolic process" // "histidine biosynthetic process"	"cytosol" // "plasma membrane" // "cell wall"	"L-phenylalanine:2-oxoglutarate aminotransferase activity" // "pyridoxal phosphate binding" // "transferase activity" // "transaminase activity" // "histidinol-phosphate transaminase activity" // "catalytic activity"
"hisC2"	"probable histidinol-phosphate aminotransferase"	"UNCLASSIFIED"	"L-histidine biosynthesis"	"biosynthetic process" // "metabolic process" // "histidine biosynthetic process"	"cytosol"	"pyridoxal phosphate binding" // "transferase activity" // "transaminase activity" // "histidinol-phosphate transaminase activity" // "catalytic activity"
"hisD"	"probable histidinol dehydrogenase"	"UNCLASSIFIED"	"L-histidine biosynthesis"	"oxidation-reduction process" // "growth" // "cellular amino acid biosynthetic process" // "metabolic process" // "histidine biosynthetic process"	"cytosol" // "cell wall"	"NAD binding" // "metal ion binding" // "oxidoreductase activity" // "zinc ion binding" // "histidinol dehydrogenase activity"
"hisE"	"phosphoribosyl-ATP pyrophosphatase"	"UNCLASSIFIED"	"L-histidine biosynthesis"	"response to host iron concentration" // "growth" // "cellular amino acid biosynthetic process" // "histidine biosynthetic process"	"cytoplasm" // "cell wall"	"hydrolase activity" // "ATP binding" // "protein binding" // "phosphoribosyl-ATP diphosphatase activity" // "magnesium ion binding" // "nucleotide binding"
"hisF"	"probable cyclase"	"UNCLASSIFIED"	"L-glutamine degradation I" // "L-histidine biosynthesis"	"growth" // "cellular amino acid biosynthetic process" // "metabolic process" // "histidine biosynthetic process"	"cytosol" // "cytoplasm"	"lyase activity" // "catalytic activity" // "imidazoleglycerol-phosphate synthase activity"
"hisG"	"ATP phosphoribosyltransferase"	"UNCLASSIFIED"	"L-histidine biosynthesis"	"growth" // "cellular amino acid biosynthetic process" // "histidine biosynthetic process"	"cytosol" // "plasma membrane" // "cytoplasm"	"metal ion binding" // "transferase activity, transferring glycosyl groups" // "transferase activity" // "AMP binding" // "ATP binding" // "protein binding" // "ATP phosphoribosyltransferase activity" // "magnesium ion binding" // "nucleotide binding"
"hisH"	"probable amidotransferase"	"UNCLASSIFIED"	""	"growth" // "cellular amino acid biosynthetic process" // "glutamine metabolic process" // "histidine biosynthetic process"	"cytosol" // "cytoplasm" // "cell wall"	"lyase activity" // "hydrolase activity" // "glutaminase activity" // "imidazoleglycerol-phosphate synthase activity" // "transferase activity, transferring pentosyl groups" // "transferase activity"
"hisI"	"probable phosphoribosyl-AMP 1,6 cyclohydrolase"	"UNCLASSIFIED"	"L-histidine biosynthesis"	"growth" // "cellular amino acid biosynthetic process" // "histidine biosynthetic process"	"cytosol" // "cytoplasm"	"zinc ion binding" // "magnesium ion binding" // "metal ion binding" // "hydrolase activity" // "phosphoribosyl-AMP cyclohydrolase activity"
"hisN"	"histidinol-phosphatase subunit"	"UNCLASSIFIED"	"L-histidine biosynthesis"	"dephosphorylation" // "phosphatidylinositol phosphorylation" // "growth" // "cellular amino acid biosynthetic process" // "histidine biosynthetic process"	"cytosol" // "plasma membrane"	"phosphoric ester hydrolase activity" // "zinc ion binding" // "magnesium ion binding" // "protein homodimerization activity" // "metal ion binding" // "hydrolase activity" // "histidinol-phosphatase activity"
"hisS"	"probable histidyl-tRNA synthetase"	"UNCLASSIFIED"	"tRNA charging"	"growth" // "histidyl-tRNA aminoacylation" // "translation"	"cytosol" // "plasma membrane" // "cytoplasm" // "cell wall"	"ligase activity" // "ATP binding" // "histidine-tRNA ligase activity" // "aminoacyl-tRNA ligase activity" // "nucleotide binding"
"hisT"	"tRNA-His"	"tRNA"	"tRNA processing" // "tRNA charging"	""	""	""
